element,samples
O,46680
Fe,20261
Co,15242
Bi,13586
Ti,13079
Sb,12463
Sr,11901
Mn,11033
Te,10750
La,10465
Ba,10232
Cu,9233
S,8244
Nb,8162
Ca,7955
Pb,7557
Ni,7490
Sn,7370
Li,6868
Si,6511
Se,6227
Zn,6157
Al,5414
Mg,5193
Na,4859
Zr,4602
Ge,3822
In,3498
B,3498
Nd,3249
Ce,3240
Ag,3145
Ga,2914
Y,2831
C,2777
Cr,2563
K,2512
Pr,2304
Yb,2044
V,2036
Ta,1884
Gd,1659
Sm,1649
P,1445
Cd,1288
Pd,1273
I,1260
Ru,1203
Hf,1190
Mo,1189
N,1159
Eu,1128
As,1050
W,990
Dy,935
Sc,886
Pt,703
Rh,619
H,605
F,603
Tb,589
Er,546
Ir,542
Ho,537
Tl,508
Cl,480
U,397
Re,358
Au,295
Lu,268
Tm,223
Br,164
Cs,159
Th,143
Hg,118
Rb,75
Os,72
Be,51
Pu,32
Np,11
No,8
Am,7
Pa,4
Cm,4
He,2
Ne,2
Ac,1
Tc,1
